,HCP_ID,Mean difference from the average map,Hemisphere,Hemi visual area,Visual area,Half
215,150423,11.179977105384438,RH,V1d,V1,dorsal
216,155938,14.61777364336908,RH,V1d,V1,dorsal
217,156334,14.225091297575142,RH,V1d,V1,dorsal
218,157336,10.807519133526789,RH,V1d,V1,dorsal
219,158035,15.357957790630525,RH,V1d,V1,dorsal
220,158136,19.751503560287897,RH,V1d,V1,dorsal
221,159239,15.444436690290152,RH,V1d,V1,dorsal
222,162935,8.674343859262533,RH,V1d,V1,dorsal
223,164131,27.05340244034564,RH,V1d,V1,dorsal
224,164636,10.28760257530919,RH,V1d,V1,dorsal
225,165436,9.313925368613235,RH,V1d,V1,dorsal
226,167036,10.378697860934755,RH,V1d,V1,dorsal
227,167440,11.660493287234962,RH,V1d,V1,dorsal
228,169040,13.507577418842637,RH,V1d,V1,dorsal
229,169343,75.44050963139289,RH,V1d,V1,dorsal
230,169444,20.85156259434848,RH,V1d,V1,dorsal
231,169747,12.680818793691355,RH,V1d,V1,dorsal
232,171633,18.79830540783234,RH,V1d,V1,dorsal
233,172130,12.647729761494777,RH,V1d,V1,dorsal
234,173334,10.107615877588033,RH,V1d,V1,dorsal
235,175237,12.75295751272401,RH,V1d,V1,dorsal
236,176542,40.04157587551915,RH,V1d,V1,dorsal
237,177140,26.648450236961317,RH,V1d,V1,dorsal
238,177645,22.26591330335513,RH,V1d,V1,dorsal
239,177746,10.764237004362926,RH,V1d,V1,dorsal
240,178142,16.00891827354546,RH,V1d,V1,dorsal
241,178243,23.14984042092799,RH,V1d,V1,dorsal
242,178647,20.775084828551943,RH,V1d,V1,dorsal
243,180533,11.073432046374865,RH,V1d,V1,dorsal
244,181232,13.564190350154128,RH,V1d,V1,dorsal
245,181636,25.452274617740528,RH,V1d,V1,dorsal
246,182436,12.934933828226775,RH,V1d,V1,dorsal
247,182739,22.10703992324244,RH,V1d,V1,dorsal
248,185442,12.001794165649029,RH,V1d,V1,dorsal
249,186949,16.91754095045878,RH,V1d,V1,dorsal
250,187345,12.393742945418051,RH,V1d,V1,dorsal
251,191033,11.158438512717861,RH,V1d,V1,dorsal
252,191336,19.847596406393738,RH,V1d,V1,dorsal
253,191841,12.70450940497482,RH,V1d,V1,dorsal
254,192439,37.777801834625684,RH,V1d,V1,dorsal
255,192641,17.84665471232344,RH,V1d,V1,dorsal
